"","COMMON.NAME","OBSERVATION.COUNT","LATITUDE","LONGITUDE","OBSERVATION.DATE","TIME.OBSERVATIONS.STARTED","PROTOCOL.TYPE","DURATION.MINUTES","EFFORT.DISTANCE.KM","EFFORT.AREA.HA","NUMBER.OBSERVERS","ALL.SPECIES.REPORTED","julian_date"
"544384","Tree Swallow",247,42.03317,-83.0455,2019-10-06,"07:45:00","Stationary",390,NA,NA,1,1,279
"546359","Tree Swallow",500,42.3195895,-82.02075,2019-08-26,"17:25:00","Traveling",60,0.5,NA,2,1,238
"548027","Tree Swallow",646,42.034026,-83.040726,2019-09-25,"07:00:00","Stationary",540,NA,NA,3,1,268
"548608","Tree Swallow",235,42.034026,-83.040726,2019-10-19,"07:45:00","Stationary",356,NA,NA,2,1,292
"550637","Tree Swallow",304,42.034026,-83.040726,2019-10-14,"07:00:00","Stationary",540,NA,NA,3,1,287
"551130","Tree Swallow",900,42.3195895,-82.02075,2019-08-11,"18:45:00","Traveling",50,3.219,NA,2,1,223
"551562","Tree Swallow",1100,42.1158928,-82.412374,2019-10-17,"10:50:00","Traveling",63,2.423,NA,1,1,290
"552201","Tree Swallow",230,42.034026,-83.040726,2019-10-19,"07:00:00","Stationary",480,NA,NA,7,1,292
"552488","Tree Swallow",335,42.034026,-83.040726,2019-10-15,"07:00:00","Stationary",540,NA,NA,3,1,288
"552498","Tree Swallow",314,42.034026,-83.040726,2019-09-03,"07:00:00","Stationary",540,NA,NA,3,1,246
"555034","Tree Swallow",325,42.5830213,-80.3982421,2019-08-17,"19:01:00","Traveling",89,2.736,NA,4,1,229
"561544","Tree Swallow",250,45.2052135,-75.2238701,2019-08-23,"08:30:00","Traveling",120,18,NA,1,1,235
"563795","Tree Swallow",347,42.0359409,-83.0303546,2019-09-15,"07:00:00","Stationary",540,NA,NA,4,1,258
"564777","Tree Swallow",225,42.9468736,-81.6488457,2019-09-07,"11:07:00","Traveling",57,1.649,NA,1,1,250
"565063","Tree Swallow",337,42.034026,-83.040726,2019-09-01,"07:00:00","Stationary",480,NA,NA,3,1,244
"565219","Tree Swallow",250,42.5933333,-80.4547222,2019-08-28,"19:06:00","Stationary",30,NA,NA,3,1,240
"565616","Tree Swallow",350,42.582784,-80.398448,2019-08-21,"06:19:00","Traveling",854,8.707,NA,1,1,233
"565715","Tree Swallow",337,42.034026,-83.040726,2019-09-01,"07:00:00","Stationary",480,NA,NA,3,1,244
"566384","Tree Swallow",250,42.034026,-83.040726,2019-10-01,"07:00:00","Stationary",540,NA,NA,3,1,274
"566473","Tree Swallow",300,42.89217,-79.603084,2019-08-22,"19:45:00","Stationary",50,NA,NA,3,1,234
"567439","Tree Swallow",760,42.89217,-79.603084,2019-08-19,"19:40:00","Stationary",70,NA,NA,3,1,231
"567487","Tree Swallow",250,42.034026,-83.040726,2019-09-27,"07:00:00","Stationary",480,NA,NA,3,1,270
"567705","Tree Swallow",378,42.034026,-83.040726,2019-09-02,"07:00:00","Stationary",540,NA,NA,3,1,245
"569032","Tree Swallow",250,42.5933333,-80.4547222,2019-08-28,"19:06:00","Stationary",30,NA,NA,3,1,240
"569061","Tree Swallow",500,42.5611096,-80.2817345,2019-08-10,"08:20:00","Traveling",750,1,NA,1,1,222
"569100","Tree Swallow",250,42.034026,-83.040726,2019-09-27,"07:00:00","Stationary",480,NA,NA,3,1,270
"570029","Tree Swallow",5000,42.5933333,-80.4547222,2019-08-26,"19:55:00","Stationary",25,NA,NA,1,1,238
"571424","Tree Swallow",314,42.034026,-83.040726,2019-09-03,"07:00:00","Stationary",540,NA,NA,3,1,246
"574195","Tree Swallow",970,42.034026,-83.040726,2019-09-30,"07:00:00","Stationary",540,NA,NA,3,1,273
"574328","Tree Swallow",325,42.5830213,-80.3982421,2019-08-17,"19:01:00","Traveling",89,2.736,NA,4,1,229
"574404","Tree Swallow",300,42.1803306,-82.7933215,2019-09-09,"17:00:00","Traveling",45,0.4,NA,1,1,252
"577461","Tree Swallow",345,42.034026,-83.040726,2019-09-26,"15:25:00","Traveling",108,1.401,NA,7,1,269
"577613","Tree Swallow",1800,44.193036,-76.3508606,2019-08-15,"19:46:00","Traveling",65,2,NA,4,1,227
"578034","Tree Swallow",500,42.4574061,-82.4041546,2019-08-23,"07:13:00","Traveling",72,2.5,NA,1,1,235
"578296","Tree Swallow",500,42.034026,-83.040726,2019-09-13,"07:00:00","Stationary",480,NA,NA,3,1,256
"578930","Tree Swallow",496,42.034026,-83.040726,2019-10-04,"07:00:00","Stationary",540,NA,NA,3,1,277
"579941","Tree Swallow",500,42.3195895,-82.02075,2019-07-21,"18:45:00","Traveling",40,3.219,NA,2,1,202
"581352","Tree Swallow",250,42.034026,-83.040726,2019-10-01,"07:00:00","Stationary",540,NA,NA,3,1,274
"583569","Tree Swallow",250,42.5611096,-80.2817345,2019-08-07,"07:19:00","Traveling",60,1.25,NA,1,1,219
"585673","Tree Swallow",500,42.5611096,-80.2817345,2019-08-04,"08:19:00","Traveling",751,0.5,NA,1,1,216
"588608","Tree Swallow",1000,44.1283482,-76.6856728,2019-08-14,"19:45:00","Traveling",60,1.5,NA,3,1,226
"590647","Tree Swallow",304,42.034026,-83.040726,2019-10-14,"07:00:00","Stationary",540,NA,NA,3,1,287
"594527","Tree Swallow",250,42.546728,-80.056037,2020-08-18,"06:25:00","Stationary",72,NA,NA,1,1,231
"596576","Tree Swallow",5000,42.5933333,-80.4547222,2020-08-30,"19:53:00","Traveling",29,3.82,NA,1,1,243
"598086","Tree Swallow",500,42.9468736,-81.6488457,2020-08-19,"06:26:00","Traveling",144,2.65,NA,1,1,232
"599569","Tree Swallow",250,42.034026,-83.040726,2020-09-22,"07:00:00","Stationary",540,NA,NA,4,1,266
"600349","Tree Swallow",10000,42.5906853,-80.4459788,2020-08-08,"20:19:00","Stationary",45,NA,NA,1,1,221
"604607","Tree Swallow",410,42.8434325,-79.8695755,2020-08-17,"08:04:00","Traveling",397,10,NA,1,1,230
"605846","Tree Swallow",300,45.4279133,-76.7394161,2020-07-24,"06:15:00","Traveling",150,4.5,NA,2,1,206
"605892","Tree Swallow",350,42.3195895,-82.02075,2020-09-03,"08:25:00","Traveling",140,2,NA,1,1,247
"606002","Tree Swallow",300,42.3195895,-82.02075,2020-08-31,"08:01:00","Traveling",44,0.739,NA,2,1,244
"606172","Tree Swallow",300,45.5474162,-74.8568916,2020-08-29,"16:05:00","Stationary",65,NA,NA,3,1,242
"606740","Tree Swallow",300,41.9693171,-82.5288464,2020-08-20,"19:17:00","Traveling",16,0.141,NA,2,1,233
"606784","Tree Swallow",300,43.0866926,-79.5361662,2020-09-04,"12:01:00","Traveling",10,2,NA,2,1,248
"607220","Tree Swallow",273,42.034026,-83.040726,2020-09-01,"07:00:00","Stationary",540,NA,NA,4,1,245
"611628","Tree Swallow",250,45.6884271,-77.0416903,2020-08-24,"10:01:00","Stationary",14,NA,NA,2,1,237
"612912","Tree Swallow",270,42.1158928,-82.412374,2020-10-24,"08:00:00","Stationary",600,NA,NA,3,1,298
"613987","Tree Swallow",400,45.5474162,-74.8568916,2020-08-27,"18:00:00","Stationary",60,NA,NA,1,1,240
"616374","Tree Swallow",500,45.2717693,-75.2418505,2020-08-30,"09:40:00","Traveling",41,0.55,NA,1,1,243
"616831","Tree Swallow",500,45.2717693,-75.2418505,2020-08-30,"09:40:00","Traveling",41,0.55,NA,1,1,243
"619419","Tree Swallow",300,42.0488226,-82.4884629,2020-09-20,"09:05:00","Stationary",12,NA,NA,1,1,264
"620471","Tree Swallow",300,42.3195895,-82.02075,2020-08-31,"08:01:00","Traveling",44,0.739,NA,2,1,244
"620604","Tree Swallow",400,42.9468736,-81.6488457,2020-09-06,"07:45:00","Traveling",235,1.5,NA,1,1,250
"620717","Tree Swallow",500,42.1158928,-82.412374,2020-08-29,"07:10:00","Stationary",260,NA,NA,1,1,242
"620872","Tree Swallow",300,42.6239494,-80.462923,2020-09-10,"19:13:00","Traveling",45,3.693,NA,1,1,254
"620887","Tree Swallow",300,42.3195895,-82.02075,2020-08-30,"18:20:00","Traveling",90,6.437,NA,2,1,243
"623205","Tree Swallow",25000,42.5906853,-80.4459788,2020-08-11,"20:36:00","Traveling",89,5.918,NA,1,1,224
"626788","Tree Swallow",10000,42.5933333,-80.4547222,2020-08-21,"20:20:00","Traveling",35,2.642,NA,1,1,234
"627201","Tree Swallow",250,43.0892939,-82.016201,2020-07-15,"17:44:00","Traveling",33,0.5,NA,1,1,197
"627226","Tree Swallow",250,45.2323492,-75.1454544,2020-08-03,"10:37:00","Stationary",10,NA,NA,1,1,216
"627351","Tree Swallow",260,43.6282673,-79.329167,2020-06-28,"05:30:00","Traveling",270,9,NA,1,1,180
"628623","Tree Swallow",500,42.0446398,-82.9401684,2020-09-19,"08:58:00","Traveling",47,1.642,NA,1,1,263
"629785","Tree Swallow",1000,45.1149047,-74.5146418,2020-08-26,"08:00:00","Traveling",240,5,NA,2,1,239
"629959","Tree Swallow",300,42.8660095,-79.5587504,2020-07-23,"20:18:00","Stationary",15,NA,NA,1,1,205
"630007","Tree Swallow",249,42.034026,-83.040726,2020-09-28,"08:00:00","Stationary",540,NA,NA,3,1,272
"630239","Tree Swallow",350,42.034026,-83.040726,2020-10-01,"07:00:00","Stationary",360,NA,NA,4,1,275
"632339","Tree Swallow",1500,45.2711618,-75.2432501,2020-08-08,"07:10:00","Traveling",124,1.4,NA,1,1,221
"634016","Tree Swallow",240,42.8693132,-81.0971339,2020-08-19,"14:51:00","Traveling",56,1.281,NA,3,1,232
"635705","Tree Swallow",300,43.6282673,-79.329167,2020-07-01,"05:30:00","Traveling",300,8,NA,1,1,183
"635756","Tree Swallow",800,42.3733834,-82.3952293,2020-09-18,"19:15:00","Traveling",10,1,NA,1,1,262
"635953","Tree Swallow",230,42.3195895,-82.02075,2020-08-30,"11:27:00","Traveling",89,1.942,NA,2,1,243
"635954","Tree Swallow",250,42.3195895,-82.02075,2020-08-22,"09:48:00","Traveling",93,2.241,NA,1,1,235
"637208","Tree Swallow",350,42.034026,-83.040726,2020-10-01,"07:00:00","Stationary",360,NA,NA,4,1,275
"637343","Tree Swallow",254,42.034026,-83.040726,2020-09-27,"08:00:00","Stationary",540,NA,NA,3,1,271
"637566","Tree Swallow",273,42.034026,-83.040726,2020-09-01,"07:00:00","Stationary",540,NA,NA,4,1,245
"637955","Tree Swallow",250,42.112852,-82.882127,2020-10-23,"10:18:00","Traveling",8,0.313,NA,1,1,297
"639944","Tree Swallow",400,42.280764,-82.007529,2020-10-15,"17:00:00","Incidental",NA,NA,NA,1,0,289
"641915","Tree Swallow",10000,42.5933333,-80.4547222,2020-08-25,"20:09:00","Traveling",23,4.275,NA,1,1,238
"641956","Tree Swallow",320,42.2651589,-82.0010376,2020-10-19,"09:30:00","Stationary",140,NA,NA,1,1,293
"643116","Tree Swallow",260,43.6282673,-79.329167,2020-07-05,"05:30:00","Traveling",240,8,NA,1,1,187
"643253","Tree Swallow",300,42.3195895,-82.02075,2020-10-16,"12:07:00","Traveling",157,0,NA,1,1,290
"643614","Tree Swallow",295,42.3195895,-82.02075,2020-10-17,"11:13:00","Traveling",197,1,NA,2,1,291
"644996","Tree Swallow",255,42.034026,-83.040726,2020-09-29,"07:00:00","Stationary",540,NA,NA,2,1,273
"645072","Tree Swallow",1000,45.1149047,-74.5146418,2020-08-26,"08:00:00","Traveling",240,5,NA,2,1,239
"645665","Tree Swallow",50000,42.5906853,-80.4459788,2020-08-18,"20:20:00","Traveling",25,5.703,NA,1,1,231
"647678","Tree Swallow",250,45.3871424,-74.9368842,2020-07-22,"07:58:00","Traveling",39,1.947,NA,1,1,204
"647878","Tree Swallow",250,42.2665036,-81.9384214,2020-08-11,"08:36:00","Traveling",38,0.5,NA,1,1,224
"648841","Tree Swallow",300,45.2973506,-75.3765106,2020-08-16,"08:00:00","Incidental",NA,NA,NA,1,0,229
"650573","Tree Swallow",500,42.0428047,-82.4999347,2020-10-03,"10:30:00","Traveling",23,1.326,NA,1,1,277
"651055","Tree Swallow",250,45.4279133,-76.7394161,2020-07-31,"06:19:00","Traveling",170,4.5,NA,2,1,213
"651159","Tree Swallow",275,42.3195895,-82.02075,2020-08-28,"14:18:00","Traveling",69,2,NA,1,1,241
"652519","Tree Swallow",283,42.034026,-83.040726,2020-09-02,"07:00:00","Stationary",540,NA,NA,3,1,246
"652525","Tree Swallow",255,42.034026,-83.040726,2020-09-29,"07:00:00","Stationary",540,NA,NA,2,1,273
"655878","Tree Swallow",500,41.9881832,-82.524393,2020-08-17,"07:05:00","Traveling",130,1.69,NA,1,1,230
"656439","Tree Swallow",1200,45.2446786,-75.332222,2020-08-22,"08:15:00","Traveling",120,20,NA,1,1,235
"657623","Tree Swallow",20000,42.5933333,-80.4547222,2020-08-14,"19:30:00","Stationary",30,NA,NA,1,1,227
"657624","Tree Swallow",10000,42.5933333,-80.4547222,2020-08-09,"21:38:00","Stationary",2,NA,NA,1,1,222
"657847","Tree Swallow",250,42.1158928,-82.412374,2020-08-05,"06:55:00","Stationary",200,NA,NA,1,1,218
"658283","Tree Swallow",300,45.4279133,-76.7394161,2020-07-24,"06:15:00","Traveling",150,4.5,NA,2,1,206
"658437","Tree Swallow",2500,42.1158928,-82.412374,2020-10-02,"07:25:00","Stationary",300,NA,NA,1,1,276
"659735","Tree Swallow",500,42.034026,-83.040726,2020-09-08,"07:00:00","Stationary",540,NA,NA,3,1,252
"662276","Tree Swallow",220,42.8082115,-82.3043912,2020-07-30,"17:25:00","Traveling",70,0.4,NA,1,1,212
"665223","Tree Swallow",270,42.1158928,-82.412374,2020-10-24,"08:25:00","Stationary",418,NA,NA,3,1,298
"665578","Tree Swallow",250,45.4279133,-76.7394161,2020-07-31,"06:19:00","Traveling",170,4.5,NA,2,1,213
"665852","Tree Swallow",500,42.3195895,-82.02075,2020-09-05,"07:19:00","Traveling",125,3.165,NA,1,1,249
"665986","Tree Swallow",270,42.1158928,-82.412374,2020-10-24,"08:25:00","Traveling",594,1,NA,3,1,298
"666044","Tree Swallow",300,42.3195895,-82.02075,2020-07-20,"16:40:00","Traveling",35,1,NA,1,1,202
"666045","Tree Swallow",300,42.3195895,-82.02075,2020-09-09,"07:11:00","Traveling",120,1.05,NA,1,1,253
"667721","Tree Swallow",250,42.034026,-83.040726,2020-10-03,"08:00:00","Stationary",420,NA,NA,3,1,277
"669953","Tree Swallow",220,42.593459,-80.470625,2020-08-01,"14:41:00","Traveling",83,6.415,NA,1,1,214
"672029","Tree Swallow",510,42.5829243,-80.3983998,2020-08-17,"07:37:00","Traveling",60,43.626,NA,1,1,230
"673138","Tree Swallow",300,42.0446398,-82.9401684,2020-10-04,"11:40:00","Traveling",44,1.265,NA,1,1,278
"673535","Tree Swallow",295,42.3195895,-82.02075,2020-10-17,"11:13:00","Traveling",197,1,NA,2,1,291
"675678","Tree Swallow",10000,42.5906853,-80.4459788,2020-08-06,"20:20:00","Traveling",40,19.757,NA,1,1,219
"679050","Tree Swallow",240,42.8693132,-81.0971339,2020-08-19,"14:51:00","International Shorebird Survey (ISS)",56,1.281,NA,3,1,232
"679650","Tree Swallow",10000,42.5933333,-80.4547222,2020-08-23,"20:13:00","Traveling",28,3.799,NA,1,1,236
"679808","Tree Swallow",300,43.0892939,-82.016201,2020-07-19,"19:30:00","Traveling",60,2,NA,1,1,201
"680550","Tree Swallow",300,42.3195895,-82.02075,2020-08-09,"09:05:00","Traveling",90,1.5,NA,1,1,222
"681122","Tree Swallow",400,42.3733834,-82.3952293,2020-10-01,"18:00:00","Traveling",75,1,NA,1,1,275
"682667","Tree Swallow",255,42.034026,-83.040726,2020-09-29,"07:00:00","Stationary",540,NA,NA,2,1,273
"687577","Tree Swallow",300,43.3547667,-81.4993286,2020-07-16,"08:32:00","Traveling",28,1.13,NA,2,1,198
"687594","Tree Swallow",300,42.6239494,-80.462923,2020-08-10,"19:29:00","Traveling",45,2.997,NA,1,1,223
"688825","Tree Swallow",500,45.2732556,-75.2444172,2020-07-22,"10:20:00","Traveling",29,0.628,NA,2,1,204
"689535","Tree Swallow",300,41.9693171,-82.5288464,2020-08-20,"19:17:00","Traveling",16,0.141,NA,2,1,233
"689798","Tree Swallow",500,42.034026,-83.040726,2020-09-08,"07:00:00","Stationary",540,NA,NA,3,1,252
"689802","Tree Swallow",250,42.034026,-83.040726,2020-09-22,"07:00:00","Stationary",540,NA,NA,4,1,266
"690119","Tree Swallow",500,42.034026,-83.040726,2020-09-08,"07:00:00","Stationary",540,NA,NA,3,1,252
"690294","Tree Swallow",283,42.034026,-83.040726,2020-09-02,"07:00:00","Stationary",540,NA,NA,3,1,246
"692698","Tree Swallow",500,42.2665036,-81.9384214,2020-08-22,"08:05:00","Traveling",91,2,NA,1,1,235
"693198","Tree Swallow",240,42.8693132,-81.0971339,2020-08-19,"14:51:00","Traveling",56,1.281,NA,3,1,232
"694623","Tree Swallow",250,45.6884271,-77.0416903,2020-08-24,"10:01:00","Stationary",14,NA,NA,2,1,237
"694950","Tree Swallow",250,42.9468736,-81.6488457,2020-08-17,"12:55:00","Traveling",50,1,NA,1,1,230
"697035","Tree Swallow",249,42.034026,-83.040726,2020-09-28,"08:00:00","Stationary",540,NA,NA,3,1,272
"697289","Tree Swallow",750,41.9693171,-82.5288464,2020-08-28,"13:00:00","Traveling",60,2,NA,1,1,241
"697647","Tree Swallow",283,42.034026,-83.040726,2020-09-02,"07:00:00","Stationary",540,NA,NA,3,1,246
"699553","Tree Swallow",230,42.65466,-80.456575,2020-06-22,"07:30:00","Banding",260,NA,NA,2,1,174
"702601","Tree Swallow",250,42.2676784,-81.9718552,2020-10-06,"11:25:00","Incidental",NA,NA,NA,1,0,280
"703796","Tree Swallow",300,45.5474162,-74.8568916,2020-08-29,"16:05:00","Stationary",65,NA,NA,3,1,242
"703864","Tree Swallow",300,45.5474162,-74.8568916,2020-08-29,"16:05:00","Stationary",65,NA,NA,3,1,242
"704758","Tree Swallow",250,42.034026,-83.040726,2020-09-22,"07:00:00","Stationary",540,NA,NA,4,1,266
"704759","Tree Swallow",254,42.034026,-83.040726,2020-09-27,"08:00:00","Stationary",540,NA,NA,3,1,271
"704797","Tree Swallow",350,42.034026,-83.040726,2020-10-01,"07:00:00","Stationary",360,NA,NA,4,1,275
"709209","Tree Swallow",250,42.2953758,-81.8571571,2020-07-15,"11:00:00","Traveling",150,25,NA,2,1,197
"710207","Tree Swallow",500,42.3195895,-82.02075,2020-09-05,"07:30:00","Traveling",210,1.5,NA,1,1,249
"710208","Tree Swallow",230,42.3195895,-82.02075,2020-08-30,"11:27:00","Traveling",89,1.942,NA,2,1,243
"710369","Tree Swallow",300,43.3547667,-81.4993286,2020-07-16,"08:32:00","Traveling",28,1.13,NA,2,1,198
"710784","Tree Swallow",500,42.3195895,-82.02075,2020-08-25,"17:10:00","Traveling",50,1,NA,1,1,238
"710913","Tree Swallow",300,42.885524,-80.1569366,2020-08-17,"19:09:00","Traveling",30,0.18,NA,1,1,230
"719037","Tree Swallow",750,44.1395559,-76.7227821,2021-07-04,"07:54:00","Traveling",212,22,NA,1,1,185
"720338","Tree Swallow",250,42.3195895,-82.02075,2021-07-24,"14:10:00","Traveling",30,1,NA,1,1,205
"720339","Tree Swallow",350,42.3195895,-82.02075,2021-09-06,"09:16:00","Traveling",62,1.478,NA,1,1,249
"723866","Tree Swallow",400,41.9553986,-82.5139999,2021-07-10,"17:30:00","Traveling",150,4,NA,2,1,191
"725664","Tree Swallow",250,43.007554,-79.534941,2021-09-19,"13:53:00","Stationary",35,NA,NA,1,1,262
"725996","Tree Swallow",470,41.9881832,-82.524393,2021-08-06,"07:21:00","Traveling",113,1.73,NA,1,1,218
"728811","Tree Swallow",250,42.3195895,-82.02075,2021-08-02,"14:44:00","Traveling",67,1.25,NA,4,1,214
"730889","Tree Swallow",815,42.034026,-83.040726,2021-10-05,"08:00:00","Stationary",540,NA,NA,4,1,278
"733526","Tree Swallow",2500,42.5766727,-80.3738179,2021-08-10,"20:00:00","Traveling",60,1,NA,1,1,222
"742104","Tree Swallow",680,42.0963326,-83.1209181,2021-10-06,"07:31:00","Traveling",464,8.781,NA,1,1,279
"743871","Tree Swallow",2500,42.580151,-80.440053,2021-08-08,"20:17:00","Traveling",46,5.531,NA,1,1,220
"746200","Tree Swallow",1000,42.5829243,-80.3983998,2021-08-15,"19:28:00","Stationary",73,NA,NA,2,1,227
"746748","Tree Swallow",250,42.5829243,-80.3983998,2021-08-12,"20:05:00","Stationary",55,NA,NA,2,1,224
"747270","Tree Swallow",250,42.1158928,-82.412374,2021-10-26,"08:00:00","Stationary",480,NA,NA,1,1,299
"749397","Tree Swallow",1500,41.9693171,-82.5288464,2021-07-18,"19:36:00","Traveling",57,1.309,NA,3,1,199
"749743","Tree Swallow",558,42.034026,-83.040726,2021-09-13,"08:00:00","Stationary",540,NA,NA,3,1,256
"752349","Tree Swallow",225,42.164975,-83.100407,2021-07-26,"19:30:00","Traveling",134,6.133,NA,1,1,207
"756401","Tree Swallow",1000,42.5933333,-80.4547222,2021-08-18,"19:19:00","Traveling",83,1.61,NA,1,1,230
"757212","Tree Swallow",300,42.3195895,-82.02075,2021-07-30,"07:45:00","Traveling",115,2.399,NA,1,1,211
"764706","Tree Swallow",300,42.0105298,-82.526722,2021-08-08,"08:02:00","Traveling",56,7.187,NA,1,1,220
"766425","Tree Swallow",300,42.3195895,-82.02075,2021-09-06,"08:43:00","Traveling",96,4.055,NA,1,1,249
"766439","Tree Swallow",300,42.3195895,-82.02075,2021-08-07,"07:35:00","Traveling",72,1,NA,1,1,219
"766977","Tree Swallow",900,42.3195895,-82.02075,2021-07-31,"07:50:00","Traveling",73,1,NA,1,1,212
"773795","Tree Swallow",750,44.1395559,-76.7227821,2021-07-21,"08:54:00","Traveling",275,18,NA,2,1,202
"774254","Tree Swallow",2600,42.5829243,-80.3983998,2021-08-17,"19:21:00","Stationary",60,NA,NA,1,1,229
"776418","Tree Swallow",558,42.034026,-83.040726,2021-09-13,"08:00:00","Stationary",540,NA,NA,3,1,256
"778846","Tree Swallow",201,42.0963326,-83.1209181,2021-10-05,"08:37:00","Traveling",169,4.216,NA,1,1,278
"780520","Tree Swallow",250,42.3152099,-82.0253504,2021-07-30,"06:38:00","Traveling",153,1.28,NA,1,1,211
"784939","Tree Swallow",400,42.3195895,-82.02075,2021-07-24,"18:34:00","Traveling",39,0.74,NA,1,1,205
"785475","Tree Swallow",815,42.034026,-83.040726,2021-10-05,"08:00:00","Stationary",540,NA,NA,4,1,278
"788979","Tree Swallow",500,42.580151,-80.440053,2021-08-12,"20:37:00","Stationary",25,NA,NA,1,1,224
"790236","Tree Swallow",400,42.5936508,-80.4489136,2021-07-20,"06:51:00","Traveling",58,2.526,NA,1,1,201
"791425","Tree Swallow",400,42.5806413,-80.3857613,2021-09-09,"19:30:00","Incidental",NA,NA,NA,2,0,252
"791880","Tree Swallow",250,42.1158928,-82.412374,2021-10-22,"10:44:00","Stationary",240,NA,NA,4,1,295
"794922","Tree Swallow",500,42.3195895,-82.02075,2021-09-06,"08:07:00","Traveling",131,4.357,NA,1,1,249
"794926","Tree Swallow",450,42.3195895,-82.02075,2021-07-24,"16:56:00","Traveling",90,1.5,NA,1,1,205
"797855","Tree Swallow",3000,42.0963326,-83.1209181,2021-10-04,"07:42:00","Traveling",647,10.572,NA,1,1,277
"797856","Tree Swallow",3000,42.0963326,-83.1209181,2021-10-08,"07:30:00","Traveling",276,5.112,NA,1,1,281
"799158","Tree Swallow",215,45.4035725,-75.7505608,2021-07-16,"08:00:00","Traveling",75,3,NA,2,1,197
"802409","Tree Swallow",750,44.1395559,-76.7227821,2021-07-04,"07:54:00","Traveling",212,22,NA,1,1,185
"802896","Tree Swallow",250,42.3195895,-82.02075,2021-07-30,"14:08:00","Traveling",80,1.5,NA,2,1,211
"802949","Tree Swallow",750,44.1395559,-76.7227821,2021-07-21,"08:54:00","Traveling",275,18,NA,2,1,202
"803043","Tree Swallow",350,42.6239494,-80.462923,2021-07-24,"10:50:00","Traveling",24,1.4,NA,1,1,205
"803367","Tree Swallow",250,42.3195895,-82.02075,2021-08-02,"14:44:00","Traveling",67,1.25,NA,4,1,214
"804018","Tree Swallow",500,42.3195895,-82.02075,2021-09-03,"10:05:00","Traveling",30,0.3,NA,1,1,246
"805241","Tree Swallow",300,42.034026,-83.040726,2021-09-23,"08:00:00","Stationary",360,NA,NA,3,1,266
"805757","Tree Swallow",3051,42.89217,-79.603084,2021-08-07,"18:30:00","Traveling",180,6,NA,5,1,219
"807196","Tree Swallow",500,42.5766727,-80.3738179,2021-08-13,"19:55:00","Stationary",60,NA,NA,4,1,225
"811715","Tree Swallow",250,42.0389667,-82.5091267,2021-07-10,"07:49:00","Traveling",95,6,NA,1,1,191
"812581","Tree Swallow",250,42.3195895,-82.02075,2021-08-05,"08:49:00","Traveling",109,0.933,NA,1,1,217
"813835","Tree Swallow",300,42.034026,-83.040726,2021-10-10,"08:00:00","Stationary",540,NA,NA,3,1,283
"815301","Tree Swallow",899,42.89217,-79.603084,2021-08-06,"19:00:00","Traveling",150,3,NA,5,1,218
"820252","Tree Swallow",550,42.5953018,-82.3758745,2021-08-12,"19:30:00","Stationary",78,NA,NA,1,1,224
"820897","Tree Swallow",250,42.0446398,-82.9401684,2021-08-23,"17:05:00","Traveling",50,0.515,NA,2,1,235
"823873","Tree Swallow",250,42.034026,-83.040726,2021-09-21,"08:00:00","Stationary",540,NA,NA,3,1,264
"823874","Tree Swallow",300,42.034026,-83.040726,2021-10-10,"08:00:00","Stationary",540,NA,NA,3,1,283
"825793","Tree Swallow",1250,42.0963326,-83.1209181,2021-10-08,"07:54:00","Traveling",231,3.887,NA,1,1,281
"829122","Tree Swallow",350,42.5829243,-80.3983998,2021-08-31,"17:58:00","Traveling",122,1.15,NA,1,1,243
"832659","Tree Swallow",250,42.034026,-83.040726,2021-09-21,"08:00:00","Stationary",540,NA,NA,3,1,264
"832693","Tree Swallow",250,42.6578862,-81.2150145,2021-06-28,"09:52:00","Traveling",41,2.46,NA,1,1,179
"834988","Tree Swallow",2500,42.0963326,-83.1209181,2021-10-04,"07:35:00","Traveling",373,4,NA,1,1,277
"837069","Tree Swallow",400,42.5936508,-80.4489136,2021-07-20,"06:51:00","Traveling",58,2.526,NA,1,1,201
"839871","Tree Swallow",475,42.3195895,-82.02075,2021-07-23,"07:20:00","Traveling",55,1,NA,1,1,204
"840125","Tree Swallow",670,42.034026,-83.040726,2021-10-31,"09:00:00","Stationary",480,NA,NA,4,1,304
"842280","Tree Swallow",250,42.6071794,-82.3597527,2021-08-18,"17:40:00","Traveling",23,0.4,NA,1,1,230
"843830","Tree Swallow",400,41.9553986,-82.5139999,2021-07-10,"17:30:00","Traveling",150,4,NA,2,1,191
"844942","Tree Swallow",1500,42.0963326,-83.1209181,2021-10-05,"07:32:00","Traveling",375,9.155,NA,1,1,278
"846885","Tree Swallow",4000,42.1158928,-82.412374,2021-10-17,"07:45:00","Stationary",495,NA,NA,1,1,290
"847296","Tree Swallow",600,42.3195895,-82.02075,2021-08-15,"19:10:00","Traveling",50,1.609,NA,2,1,227
"847306","Tree Swallow",300,45.2564986,-75.3310041,2021-09-12,"08:30:00","Traveling",120,2,NA,1,1,255
"847804","Tree Swallow",269,42.5953018,-82.3758745,2021-08-28,"19:00:00","Stationary",60,NA,NA,1,1,240
"850228","Tree Swallow",1500,41.9693171,-82.5288464,2021-07-18,"19:36:00","Traveling",57,1.309,NA,3,1,199
"850234","Tree Swallow",300,42.3195895,-82.02075,2021-08-12,"12:02:00","Traveling",53,0.308,NA,1,1,224
"850854","Tree Swallow",558,42.034026,-83.040726,2021-09-13,"08:00:00","Stationary",540,NA,NA,3,1,256
